Entity,Year,Change in the number of international immigrants in the previous five years
Afghanistan,1995,13836
Afghanistan,2000,4395
Afghanistan,2005,11397
Afghanistan,2010,14962
Afghanistan,2015,237156
Afghanistan,2020,-195334
Africa,1995,667411
Africa,2000,-1305400
Africa,2005,988410
Africa,2010,1766590
Africa,2015,5054115
Africa,2020,2528672
Albania,1995,5341
Albania,2000,5341
Albania,2005,-11956
Albania,2010,-11955
Albania,2015,-753
Albania,2020,-3221
Algeria,1995,-11922
Algeria,2000,-11922
Algeria,2005,-52382
Algeria,2010,19540
Algeria,2015,22205
Algeria,2020,10905
American Samoa,1995,1815
American Samoa,2000,1814
American Samoa,2005,-679
American Samoa,2010,-678
American Samoa,2015,-42
American Samoa,2020,95
Andorra,1995,5315
Andorra,2000,-2059
Andorra,2005,8151
Andorra,2010,1755
Andorra,2015,-9789
Andorra,2020,3310
Angola,1995,6296
Angola,2000,6295
Angola,2005,16223
Angola,2010,274036
Angola,2015,295811
Angola,2020,24256
Anguilla,1995,747
Anguilla,2000,746
Anguilla,2005,621
Anguilla,2010,419
Anguilla,2015,368
Anguilla,2020,244
Antigua and Barbuda,1995,5521
Antigua and Barbuda,2000,5521
Antigua and Barbuda,2005,1670
Antigua and Barbuda,2010,1671
Antigua and Barbuda,2015,1670
Antigua and Barbuda,2020,1304
Argentina,1995,-54850
Argentina,2000,-54850
Argentina,2005,133944
Argentina,2010,131794
Argentina,2015,280344
Argentina,2020,195427
Armenia,1995,35210
Armenia,2000,-36099
Armenia,2005,-188711
Armenia,2010,-258042
Armenia,2015,-19948
Armenia,2020,-850
Aruba,1995,7830
Aruba,2000,7830
Aruba,2005,2436
Aruba,2010,1788
Aruba,2015,1786
Aruba,2020,17479
Asia,1995,-1791905
Asia,2000,2648942
Asia,2005,4182801
Asia,2010,12873853
Asia,2015,11067609
Asia,2020,8427253
Australia,1995,198117
Australia,2000,232920
Australia,2005,491780
Australia,2010,1004950
Australia,2015,846750
Australia,2020,956130
Australia and New Zealand,1995,268687
Australia and New Zealand,2000,323116
Australia and New Zealand,2005,652919
Australia and New Zealand,2010,1112441
Australia and New Zealand,2015,939043
Australia and New Zealand,2020,1298118
Austria,1995,101654
Austria,2000,101654
Austria,2005,130617
Austria,2010,147737
Austria,2015,208222
Austria,2020,255060
Azerbaijan,1995,-16530
Azerbaijan,2000,-16530
Azerbaijan,2005,-25706
Azerbaijan,2010,-24933
Azerbaijan,2015,-12542
Azerbaijan,2020,-12131
Bahamas,1995,4799
Bahamas,2000,4800
Bahamas,2005,9077
Bahamas,2010,9214
Bahamas,2015,4496
Bahamas,2020,4342
Bahrain,1995,32767
Bahrain,2000,33382
Bahrain,2005,164657
Bahrain,2010,262388
Bahrain,2015,56081
Bahrain,2020,213607
Bangladesh,1995,53118
Bangladesh,2000,53118
Bangladesh,2005,74417
Bangladesh,2010,283276
Bangladesh,2015,76633
Bangladesh,2020,693229
Barbados,1995,2200
Barbados,2000,2200
Barbados,2005,2200
Barbados,2010,2201
Barbados,2015,1650
Barbados,2020,394
Belarus,1995,-62695
Belarus,2000,-62696
Belarus,2005,-16604
Belarus,2010,-16604
Belarus,2015,-7473
Belarus,2020,-15815
Belgium,1995,7420
Belgium,2000,-19635
Belgium,2005,-19635
Belgium,2010,255073
Belgium,2015,279682
Belgium,2020,221991
Belize,1995,3042
Belize,2000,3042
Belize,2005,4950
Belize,2010,4952
Belize,2015,8225
Belize,2020,7428
Benin,1995,28952
Benin,2000,28952
Benin,2005,113665
Benin,2010,60905
Benin,2015,57059
Benin,2020,27992
Bermuda,1995,993
Bermuda,2000,1008
Bermuda,2005,424
Bermuda,2010,439
Bermuda,2015,665
Bermuda,2020,527
Bhutan,1995,4165
Bhutan,2000,4165
Bhutan,2005,8142
Bhutan,2010,8141
Bhutan,2015,2686
Bhutan,2020,2506
Bolivia,1995,9840
Bolivia,2000,9060
Bolivia,2005,15087
Bolivia,2010,15101
Bolivia,2015,20162
Bolivia,2020,21113
Bonaire Sint Eustatius and Saba,1995,2091
Bonaire Sint Eustatius and Saba,2000,-714
Bonaire Sint Eustatius and Saba,2005,12
Bonaire Sint Eustatius and Saba,2010,6542
Bonaire Sint Eustatius and Saba,2015,3630
Bonaire Sint Eustatius and Saba,2020,1650
Bosnia and Herzegovina,1995,13476
Bosnia and Herzegovina,2000,13476
Bosnia and Herzegovina,2005,-35665
Bosnia and Herzegovina,2010,-8342
Bosnia and Herzegovina,2015,-348
Bosnia and Herzegovina,2020,-2555
Botswana,1995,12658
Botswana,2000,34766
Botswana,2005,9727
Botswana,2010,10202
Botswana,2015,8190
Botswana,2020,7215
Brazil,1995,-56960
Brazil,2000,-56961
Brazil,2005,-46014
Brazil,2010,-45942
Brazil,2015,117664
Brazil,2020,369404
British Virgin Islands,1995,2011
British Virgin Islands,2000,2912
British Virgin Islands,2005,2058
British Virgin Islands,2010,2060
British Virgin Islands,2015,2459
British Virgin Islands,2020,2629
Brunei,1995,11548
Brunei,2000,11548
Brunei,2005,2145
Brunei,2010,2146
Brunei,2015,2146
Brunei,2020,9226
Bulgaria,1995,10925
Bulgaria,2000,10925
Bulgaria,2005,17714
Bulgaria,2010,15213
Bulgaria,2015,47516
Bulgaria,2020,60560
Burkina Faso,1995,114452
Burkina Faso,2000,56259
Burkina Faso,2005,77295
Burkina Faso,2010,76780
Burkina Faso,2015,30238
Burkina Faso,2020,19313
Burundi,1995,-78257
Burundi,2000,-129225
Burundi,2005,67146
Burundi,2010,54547
Burundi,2015,50978
Burundi,2020,46468
Cambodia,1995,53855
Cambodia,2000,53855
Cambodia,2005,-31989
Cambodia,2010,-32068
Cambodia,2015,-8066
Cambodia,2020,5379
Cameroon,1995,-21176
Cameroon,2000,-17549
Cameroon,2005,38261
Cameroon,2010,25971
Cameroon,2015,216872
Cameroon,2020,70863
Canada,1995,531460
Canada,2000,647136
Canada,2005,567071
Canada,2010,682241
Canada,2015,667431
Canada,2020,620666
Cape Verde,1995,1048
Cape Verde,2000,1048
Cape Verde,2005,1673
Cape Verde,2010,1673
Cape Verde,2015,551
Cape Verde,2020,864
Caribbean,1995,90480
Caribbean,2000,95309
Caribbean,2005,58859
Caribbean,2010,63162
Caribbean,2015,162188
Caribbean,2020,104067
Cayman Islands,1995,3351
Cayman Islands,2000,6510
Cayman Islands,2005,1503
Cayman Islands,2010,3383
Cayman Islands,2015,2131
Cayman Islands,2020,3049
Central African Republic,1995,32478
Central African Republic,2000,23817
Central African Republic,2005,-27120
Central African Republic,2010,-1724
Central African Republic,2015,-13117
Central African Republic,2020,6978
Central America,1995,-530995
Central America,2000,-191339
Central America,2005,270464
Central America,2010,372987
Central America,2015,109187
Central America,2020,441786
Central Asia,1995,-725888
Central Asia,2000,-715713
Central Asia,2005,46795
Central Asia,2010,29061
Central Asia,2015,127854
Central Asia,2020,171250
Central and Southern Asia,1995,-4920809
Central and Southern Asia,2000,-1107989
Central and Southern Asia,2005,-1285281
Central and Southern Asia,2010,822239
Central and Southern Asia,2015,-410518
Central and Southern Asia,2020,161311
Chad,1995,15242
Chad,2000,15241
Chad,2005,247305
Chad,2010,64904
Chad,2015,49934
Chad,2020,80526
Channel Islands,1995,-1141
Channel Islands,2000,3782
Channel Islands,2005,6640
