Country,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore,2000_netMigration,2005_netMigration,2010_netMigration,2015_netMigration,2020_netMigration
Albania,2.4509099,2.0972784,1.7904844,1.8000542,1.6960872,26.346346,31.295479,37.921608,39.53761,43.45163,6.35,7.14,7.35,7.64,7.57,-23.8954361,-29.1982006,-36.1311236,-37.7375558,-41.7555428
Algeria,0.80570865,0.5964696,0.6039005,0.6027811,0.5709739,3.3437827,4.825522,4.6008377,4.622687,4.611833,4.88,5.37,4.99,4.68,4.92,-2.53807405,-4.2290524000000005,-3.9969371999999996,-4.0199059,-4.0408591
Angola,0.2812239,0.32073826,1.4401586,2.2671402,1.9972879,5.5698657,3.6882815,2.7889028,2.2173274,2.0326798,4.17,3.72,4.86,5.25,5.31,-5.288641800000001,-3.36754324,-1.3487441999999998,0.04981280000000021,-0.03539190000000003
Argentina,4.1773415,4.304544,4.4160013,4.843368,5.0485425,1.5067263,2.0705333,2.2951994,2.191141,2.3810809,7.15,6.03,5.63,4.95,4.5,2.6706152,2.2340107,2.1208018999999996,2.652227,2.6674615999999998
Armenia,21.432781,15.737932,7.338337,6.535469,6.4236913,28.575348,30.210295,31.871496,32.28511,32.335957,5.55,7.3,7.27,7.43,7.55,-7.142567000000003,-14.472362999999998,-24.533159,-25.749641000000004,-25.9122657
Australia,23.09594,24.174341,26.55411,28.119629,30.140768,2.0105696,2.124876,2.1979501,2.165081,2.348109,8.2,8.21,8.17,8.24,8.07,21.0853704,22.049464999999998,24.3561599,25.954548,27.792659
Austria,12.349894,13.656542,15.159445,17.089294,19.299421,5.9248314,5.977339,6.1522517,5.936787,6.6701455,8.01,7.91,7.85,7.95,7.58,6.4250626,7.679203,9.0071933,11.152507,12.629275499999999
Azerbaijan,4.0323815,3.5349314,3.0656195,2.7472317,2.487658,20.074364,17.04235,12.852118,11.746632,11.479455,5.62,5.78,5.4,6.0,6.16,-16.0419825,-13.5074186,-9.7864985,-8.9994003,-8.991797
Bahrain,36.01526,45.43832,53.704998,52.665047,55.013126,7.1825585,5.829679,4.209567,4.1346264,3.4244583,7.25,7.18,7.06,7.17,7.44,28.8327015,39.608641,49.495431,48.5304206,51.5886677
Bangladesh,0.77382857,0.7640279,0.9117683,0.9101579,1.2844836,4.2622476,3.9504113,4.282468,4.371845,4.4943776,5.8,5.69,5.88,5.78,5.71,-3.48841903,-3.1863834,-3.3706997,-3.4616871000000007,-3.2098940000000002
Barbados,10.468821,11.082803,11.634666,12.082628,12.133792,34.98864,33.647583,34.095154,35.70605,34.662857,6.51,6.32,6.49,6.63,6.76,-24.519819,-22.56478,-22.460488,-23.623421999999998,-22.529065000000003
Belarus,11.381965,11.576787,11.57443,11.472151,11.292769,17.075651,16.535728,15.547902,15.571734,15.700873,4.1,4.87,5.78,4.93,6.39,-5.693686000000001,-4.958940999999999,-3.973472000000001,-4.099582999999999,-4.408104
Belgium,12.335755,11.839828,13.747531,15.799954,17.304102,3.8792279,4.15005,4.424936,4.5694203,4.9825897,7.84,7.59,7.57,7.72,7.4,8.4565271,7.6897780000000004,9.322595,11.230533699999999,12.3215123
Belize,14.753953,14.601231,14.386058,15.13191,15.603552,19.494158,18.281666,17.791388,17.48253,13.267911,6.06,6.91,6.28,6.27,6.02,-4.740205,-3.680435000000001,-3.405330000000001,-2.350620000000001,2.3356410000000007
Benin,1.961201,3.1109128,3.361414,3.4633634,3.2522442,4.7778707,6.3160977,5.882564,6.0034537,5.624151,5.74,5.7,5.8,5.79,6.23,-2.8166697000000003,-3.2051849000000003,-2.5211500000000004,-2.5400902999999997,-2.3719068000000005
Bhutan,5.437604,6.2087665,7.0634365,7.021164,6.9480515,20.335052,18.546452,13.411193,7.0603185,6.738879,5.79,6.2,6.35,6.85,6.57,-14.897448,-12.3376855,-6.347756500000001,-0.039154500000000425,0.2091725000000002
