Country,1990_immigrants,1995_immigrants,2000_immigrants,2005_immigrants,2010_immigrants,2015_immigrants,2020_immigrants,1990_emigrants,1995_emigrants,2000_emigrants,2005_emigrants,2010_emigrants,2015_emigrants,2020_emigrants,1990_efScore,1995_efScore,2000_efScore,2005_efScore,2010_efScore,2015_efScore,2020_efScore
Afghanistan,0.46474826,0.39491653,0.3653376,0.34034875,0.35043415,0.9863309,0.3701622,61.87069,24.002707,22.861822,16.046991,18.055254,15.694132,15.037472,,,,,,,
Africa,2.4890416,2.2804627,1.8559766,1.7508063,1.713327,1.9333594,1.8938907,3.2714324,3.1147811,2.7226179,2.755148,2.808981,2.9694526,3.0260496,,,,,,,
Albania,2.008874,2.2921865,2.4509099,2.0972784,1.7904844,1.8000542,1.6960872,5.4838758,16.096317,26.346346,31.295479,37.921608,39.53761,43.45163,5.22,5.69,6.35,7.14,7.35,7.64,7.57
Algeria,1.0635326,0.9111688,0.80570865,0.5964696,0.6039005,0.6027811,0.5709739,3.578049,3.4065242,3.3437827,4.825522,4.6008377,4.622687,4.611833,3.61,3.96,4.88,5.37,4.99,4.68,4.92
American Samoa,44.947308,43.451595,43.088417,40.68875,41.9995,42.13346,42.77044,4.310363,4.9625645,5.5105853,4.345417,3.8460166,3.5139592,3.319021,,,,,,,
Andorra,71.34916,69.223305,64.45481,63.772488,61.634735,54.18948,58.984016,6.861378,6.486063,8.525768,7.261224,9.3648615,11.206135,14.407558,,,,,,,
Angola,0.28288242,0.285496,0.2812239,0.32073826,1.4401586,2.2671402,1.9972879,6.9620123,4.937762,5.5698657,3.6882815,2.7889028,2.2173274,2.0326798,,,4.17,3.72,4.86,5.25,5.31
Anguilla,28.895885,33.6137,36.12519,37.64668,37.980053,38.315006,38.09492,20.598156,21.949736,22.29928,19.490435,16.917238,17.879402,16.697773,,,,,,,
Antigua and Barbuda,19.236244,25.556267,30.353783,30.371216,30.003408,30.011435,30.007761,34.193146,39.26637,43.130238,44.680958,46.969215,55.77476,67.96932,,,,,,,
Argentina,5.058208,4.5798244,4.1773415,4.304544,4.4160013,4.843368,5.0485425,1.3187395,1.3838454,1.5067263,2.0705333,2.2951994,2.191141,2.3810809,4.51,6.49,7.15,6.03,5.63,4.95,4.5
Armenia,18.619516,21.570522,21.432781,15.737932,7.338337,6.535469,6.4236913,25.42782,28.03112,28.575348,30.210295,31.871496,32.28511,32.335957,,,5.55,7.3,7.27,7.43,7.55
Aruba,23.2398,27.730192,33.130104,32.53089,33.7658,34.61218,50.196693,9.47194,8.347444,8.432198,9.479345,13.302513,15.929806,20.096285,,,,,,,
Asia,1.494373,1.3288546,1.3115085,1.3386116,1.5707843,1.7411002,1.8448069,1.7655069,1.6932851,1.7462982,1.8302234,2.0933654,2.3317602,2.4759777,,,,,,,
Australia,23.320005,23.082926,23.09594,24.174341,26.55411,28.119629,30.140768,1.774778,1.8969069,2.0105696,2.124876,2.1979501,2.165081,2.348109,8.07,8.07,8.2,8.21,8.17,8.24,8.07
Australia and New Zealand,21.972147,21.884539,22.166164,23.517342,25.751133,27.216375,29.904194,3.3844373,3.4993224,3.8146336,4.0482197,4.3328032,4.4004655,4.6333313,,,,,,,
Austria,10.269856,11.200005,12.349894,13.656542,15.159445,17.089294,19.299421,6.5408726,6.1331425,5.9248314,5.977339,6.1522517,5.936787,6.6701455,7.4,7.44,8.01,7.91,7.85,7.95,7.58
Azerbaijan,4.9787664,4.4251,4.0323815,3.5349314,3.0656195,2.7472317,2.487658,22.562635,22.02086,20.074364,17.04235,12.852118,11.746632,11.479455,,,5.62,5.78,5.4,6.0,6.16
Bahamas,10.480941,11.297777,12.231039,14.016093,15.423907,15.831373,16.168676,9.810442,10.562533,11.508664,10.686537,10.139856,11.481828,13.679154,,,,,,,
Bahrain,34.926914,36.540665,36.01526,45.43832,53.704998,52.665047,55.013126,2.5844529,4.6148825,7.1825585,5.829679,4.209567,4.1346264,3.4244583,6.66,7.02,7.25,7.18,7.06,7.17,7.44
Bangladesh,0.8545122,0.81161374,0.77382857,0.7640279,0.9117683,0.9101579,1.2844836,5.2828727,4.7091527,4.2622476,3.9504113,4.282468,4.371845,4.4943776,4.0,4.85,5.8,5.69,5.88,5.78,5.71
Barbados,9.206962,9.860314,10.468821,11.082803,11.634666,12.082628,12.133792,32.485733,33.694424,34.98864,33.647583,34.095154,35.70605,34.662857,6.13,6.65,6.51,6.32,6.49,6.63,6.76
Belarus,12.303816,11.771466,11.381965,11.576787,11.57443,11.472151,11.292769,17.412832,17.231205,17.075651,16.535728,15.547902,15.571734,15.700873,,,4.1,4.87,5.78,4.93,6.39
Belgium,12.797454,12.644459,12.335755,11.839828,13.747531,15.799954,17.304102,3.6373193,3.6788025,3.8792279,4.15005,4.424936,4.5694203,4.9825897,7.51,7.62,7.84,7.59,7.57,7.72,7.4
Belize,16.210798,16.160454,14.753953,14.601231,14.386058,15.13191,15.603552,19.248323,20.26942,19.494158,18.281666,17.791388,17.48253,13.267911,,6.75,6.06,6.91,6.28,6.27,6.02
