Entity,Year,Share of the population that was born in this country but now lives in another country.
Afghanistan,1990,61.87069
Afghanistan,1995,24.002707
Afghanistan,2000,22.861822
Afghanistan,2005,16.046991
Afghanistan,2010,18.055254
Afghanistan,2015,15.694132
Afghanistan,2020,15.037472
Africa,1990,3.2714324
Africa,1995,3.1147811
Africa,2000,2.7226179
Africa,2005,2.755148
Africa,2010,2.808981
Africa,2015,2.9694526
Africa,2020,3.0260496
Albania,1990,5.4838758
Albania,1995,16.096317
Albania,2000,26.346346
Albania,2005,31.295479
Albania,2010,37.921608
Albania,2015,39.53761
Albania,2020,43.45163
Algeria,1990,3.578049
Algeria,1995,3.4065242
Algeria,2000,3.3437827
Algeria,2005,4.825522
Algeria,2010,4.6008377
Algeria,2015,4.622687
Algeria,2020,4.611833
American Samoa,1990,4.310363
American Samoa,1995,4.9625645
American Samoa,2000,5.5105853
American Samoa,2005,4.345417
American Samoa,2010,3.8460166
American Samoa,2015,3.5139592
American Samoa,2020,3.319021
Andorra,1990,6.861378
Andorra,1995,6.486063
Andorra,2000,8.525768
Andorra,2005,7.261224
Andorra,2010,9.3648615
Andorra,2015,11.206135
Andorra,2020,14.407558
Angola,1990,6.9620123
Angola,1995,4.937762
Angola,2000,5.5698657
Angola,2005,3.6882815
Angola,2010,2.7889028
Angola,2015,2.2173274
Angola,2020,2.0326798
Anguilla,1990,20.598156
Anguilla,1995,21.949736
Anguilla,2000,22.29928
Anguilla,2005,19.490435
Anguilla,2010,16.917238
Anguilla,2015,17.879402
Anguilla,2020,16.697773
Antigua and Barbuda,1990,34.193146
Antigua and Barbuda,1995,39.26637
Antigua and Barbuda,2000,43.130238
Antigua and Barbuda,2005,44.680958
Antigua and Barbuda,2010,46.969215
Antigua and Barbuda,2015,55.77476
Antigua and Barbuda,2020,67.96932
Argentina,1990,1.3187395
Argentina,1995,1.3838454
Argentina,2000,1.5067263
Argentina,2005,2.0705333
Argentina,2010,2.2951994
Argentina,2015,2.191141
Argentina,2020,2.3810809
Armenia,1990,25.42782
Armenia,1995,28.03112
Armenia,2000,28.575348
Armenia,2005,30.210295
Armenia,2010,31.871496
Armenia,2015,32.28511
Armenia,2020,32.335957
Aruba,1990,9.47194
Aruba,1995,8.347444
Aruba,2000,8.432198
Aruba,2005,9.479345
Aruba,2010,13.302513
Aruba,2015,15.929806
Aruba,2020,20.096285
Asia,1990,1.7655069
Asia,1995,1.6932851
Asia,2000,1.7462982
Asia,2005,1.8302234
Asia,2010,2.0933654
Asia,2015,2.3317602
Asia,2020,2.4759777
Australia,1990,1.774778
Australia,1995,1.8969069
Australia,2000,2.0105696
Australia,2005,2.124876
Australia,2010,2.1979501
Australia,2015,2.165081
Australia,2020,2.348109
Australia and New Zealand,1990,3.3844373
Australia and New Zealand,1995,3.4993224
Australia and New Zealand,2000,3.8146336
Australia and New Zealand,2005,4.0482197
Australia and New Zealand,2010,4.3328032
Australia and New Zealand,2015,4.4004655
Australia and New Zealand,2020,4.6333313
Austria,1990,6.5408726
Austria,1995,6.1331425
Austria,2000,5.9248314
Austria,2005,5.977339
Austria,2010,6.1522517
Austria,2015,5.936787
Austria,2020,6.6701455
Azerbaijan,1990,22.562635
Azerbaijan,1995,22.02086
Azerbaijan,2000,20.074364
Azerbaijan,2005,17.04235
Azerbaijan,2010,12.852118
Azerbaijan,2015,11.746632
