Entity,Year,Total number of international immigrants
Afghanistan,1990,57686
Afghanistan,1995,71522
Afghanistan,2000,75917
Afghanistan,2005,87314
Afghanistan,2010,102276
Afghanistan,2015,339432
Afghanistan,2020,144098
Africa,1990,15689666
Africa,1995,16357077
Africa,2000,15051677
Africa,2005,16040087
Africa,2010,17806677
Africa,2015,22860792
Africa,2020,25389464
Albania,1990,66013
Albania,1995,71354
Albania,2000,76695
Albania,2005,64739
Albania,2010,52784
Albania,2015,52031
Albania,2020,48810
Algeria,1990,273954
Algeria,1995,262032
Algeria,2000,250110
Algeria,2005,197728
Algeria,2010,217268
Algeria,2015,239473
Algeria,2020,250378
American Samoa,1990,21283
American Samoa,1995,23098
American Samoa,2000,24912
American Samoa,2005,24233
American Samoa,2010,23555
American Samoa,2015,23513
American Samoa,2020,23608
Andorra,1990,38891
Andorra,1995,44206
Andorra,2000,42147
Andorra,2005,50298
Andorra,2010,52053
Andorra,2015,42264
Andorra,2020,45574
Angola,1990,33517
Angola,1995,39813
Angola,2000,46108
Angola,2005,62331
Angola,2010,336367
Angola,2015,632178
Angola,2020,656434
Anguilla,1990,2570
Anguilla,1995,3317
Anguilla,2000,4063
Anguilla,2005,4684
Anguilla,2010,5103
Anguilla,2015,5471
Anguilla,2020,5715
Antigua and Barbuda,1990,12029
Antigua and Barbuda,1995,17550
Antigua and Barbuda,2000,23071
Antigua and Barbuda,2005,24741
Antigua and Barbuda,2010,26412
Antigua and Barbuda,2015,28082
Antigua and Barbuda,2020,29386
Argentina,1990,1649919
Argentina,1995,1595069
Argentina,2000,1540219
Argentina,2005,1674163
Argentina,2010,1805957
Argentina,2015,2086301
Argentina,2020,2281728
Armenia,1990,658789
Armenia,1995,693999
Armenia,2000,657900
Armenia,2005,469189
Armenia,2010,211147
Armenia,2015,191199
Armenia,2020,190349
Aruba,1990,14444
Aruba,1995,22274
Aruba,2000,30104
Aruba,2005,32540
Aruba,2010,34328
Aruba,2015,36114
Aruba,2020,53593
Asia,1990,48209949
Asia,1995,46418044
Asia,2000,49066986
Asia,2005,53249787
Asia,2010,66123640
Asia,2015,77191249
Asia,2020,85618502
Australia,1990,3955213
Australia,1995,4153330
Australia,2000,4386250
Australia,2005,4878030
Australia,2010,5882980
Australia,2015,6729730
Australia,2020,7685860
Australia and New Zealand,1990,4473260
Australia and New Zealand,1995,4741947
Australia and New Zealand,2000,5065063
Australia and New Zealand,2005,5717982
Australia and New Zealand,2010,6830423
Australia and New Zealand,2015,7769466
Australia and New Zealand,2020,9067584
Austria,1990,793239
Austria,1995,894893
Austria,2000,996547
Austria,2005,1127164
Austria,2010,1274901
Austria,2015,1483123
Austria,2020,1738183
Azerbaijan,1990,360600
Azerbaijan,1995,344070
Azerbaijan,2000,327540
Azerbaijan,2005,301834
Azerbaijan,2010,276901
Azerbaijan,2015,264359
Azerbaijan,2020,252228
Bahamas,1990,26855
Bahamas,1995,31654
Bahamas,2000,36454
Bahamas,2005,45531
Bahamas,2010,54745
Bahamas,2015,59241
Bahamas,2020,63583
Bahrain,1990,173212
Bahrain,1995,205979
