Country Name,Country Code,Year,GDP,Net Migration
Africa Eastern and Southern,AFE,1960,24210632546.4092,-102704.0
Africa Western and Central,AFW,1960,11904954209.7913,-759.0
Australia,AUS,1960,18607682977.2293,85707.0
Austria,AUT,1960,6624086313.14334,-1732.0
Burundi,BDI,1960,195999989.80792,-14620.0
Belgium,BEL,1960,11810619368.3874,9893.0
Benin,BEN,1960,226195578.434497,-4722.0
Burkina Faso,BFA,1960,330442815.821186,-23220.0
Bangladesh,BGD,1960,4274894083.33333,13580.0
"Bahamas, The",BHS,1960,169735993.889504,2290.0
Belize,BLZ,1960,28072478.0724781,-577.0
Bermuda,BMU,1960,72400000.0,-57.0
Bolivia,BOL,1960,373250000.0,-3144.0
Brazil,BRA,1960,17030465539.3906,4066.0
Barbados,BRB,1960,80021846.9120401,-3315.0
Botswana,BWA,1960,30411413.6552828,-4331.0
Central African Republic,CAF,1960,112155598.492157,474.0
Canada,CAN,1960,40563768946.9503,49694.0
Switzerland,CHE,1960,10412232620.5258,22313.0
Chile,CHL,1960,4110000000.0,-27184.0
China,CHN,1960,59716249310.9742,-16927.0
Cote d'Ivoire,CIV,1960,546203559.344361,31307.0
Cameroon,CMR,1960,614206068.497266,0.0
"Congo, Dem. Rep.",COD,1960,3359404117.64706,27673.0
"Congo, Rep.",COG,1960,131731862.783017,0.0
Colombia,COL,1960,4031152976.63904,-49115.0
Costa Rica,CRI,1960,507513829.994855,910.0
Caribbean small states,CSS,1960,641146358.588231,-13827.0
Germany,DEU,1960,84619845881.2608,212666.0
Denmark,DNK,1960,6361166544.50349,-4047.0
Dominican Republic,DOM,1960,672399700.0,-13344.0
Algeria,DZA,1960,2723615451.30098,-55212.0
East Asia & Pacific (excluding high income),EAP,1960,80752362533.5747,-102382.0
Early-demographic dividend,EAR,1960,151408515299.426,46031.0
East Asia & Pacific,EAS,1960,157146103914.433,-40790.0
Europe & Central Asia,ECS,1960,426424801995.06,-148155.0
Ecuador,ECU,1960,2069464937.19791,-1746.0
"Egypt, Arab Rep.",EGY,1960,4206270175.31699,-2954.0
Euro area,EMU,1960,251413246919.607,-103429.0
Spain,ESP,1960,12424514013.7604,-154869.0
Ethiopia,ETH,1960,1610511693.84215,1696.0
European Union,EUU,1960,284932124120.844,-167571.0
Fragile and conflict affected situations,FCS,1960,34157915798.1707,-18696.0
Finland,FIN,1960,5279481824.12983,-9489.0
Fiji,FJI,1960,112328422.113084,-981.0
France,FRA,1960,61756878990.3,143032.0
Gabon,GAB,1960,141468977.799846,0.0
United Kingdom,GBR,1960,73233967692.1028,19953.0
Ghana,GHA,1960,1217230094.97205,12181.0
Greece,GRC,1960,4274890306.82895,-15996.0
Guatemala,GTM,1960,1043599900.0,-186.0
Guyana,GUY,1960,170216241.126064,-3837.0
High income,HIC,1960,1092551546744.35,155693.0
"Hong Kong SAR, China",HKG,1960,1320796651.69457,20811.0
Honduras,HND,1960,335650000.0,-4085.0
Heavily indebted poor countries (HIPC),HPC,1960,21764253547.1734,-98188.0
Haiti,HTI,1960,273187200.0,-15862.0
IBRD only,IBD,1960,317482813174.277,-404732.0
